Year,Winning League,Winning team,Winning Team Modern Franchise,Winning Manager,Games,Losing League,Losing team,Losing Team Modern Franchise,Losing Manager
1903,American League,Boston Americans,Boston_Redsox,Jimmy Collins,5–3,National League,Pittsburgh_Pirates,Pittsburgh_Pirates,Fred Clarke
1905,National League,New York Giants,SanFrancisco_Giants,John McGraw,4–1,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack
1906,American League,Chicago_White_Sox,Chicago_White_Sox,Fielder Jones,4–2,National League,Chicago_Cubs,Chicago_Cubs,Frank Chance
1907,National League,Chicago_Cubs,Chicago_Cubs,Frank Chance,4–0,American League,Detroit_Tigers,Detroit_Tigers,Hugh Jennings
1908,National League,Chicago_Cubs,Chicago_Cubs,Frank Chance,4–1,American League,Detroit_Tigers,Detroit_Tigers,Hugh Jennings
1909,National League,Pittsburgh_Pirates,Pittsburgh_Pirates,Fred Clarke,4–3,American League,Detroit_Tigers,Detroit_Tigers,Hugh Jennings
1910,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack,4–1,National League,Chicago_Cubs,Chicago_Cubs,Frank Chance
1911,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack,4–2,National League,New York Giants,SanFrancisco_Giants,John McGraw
1912,American League,Boston_Redsox,Boston_Redsox,Jake Stahl,4–3,National League,New York Giants,SanFrancisco_Giants,John McGraw
1913,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack,4–1,National League,New York Giants,SanFrancisco_Giants,John McGraw
1914,National League,Boston Braves,Atlanta_Braves,George Stallings,4–0,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack
1915,American League,Boston_Redsox,Boston_Redsox,Bill Carrigan,4–1,National League,Philadelphia_Phillies,Philadelphia_Phillies,Pat Moran
1916,American League,Boston_Redsox,Boston_Redsox,Bill Carrigan,4–1,National League,Brooklyn Robins,LosAngeles_Dodgers,Wilbert Robinson
1917,American League,Chicago_White_Sox,Chicago_White_Sox,Pants Rowland,4–2,National League,New York Giants,SanFrancisco_Giants,John McGraw
1918,American League,Boston_Redsox,Boston_Redsox,Ed Barrow,4–2,National League,Chicago_Cubs,Chicago_Cubs,Fred Mitchell
1919,National League,Cincinnati_Reds,Cincinnati_Reds,Pat Moran,5–3,American League,Chicago_White_Sox,Chicago_White_Sox,Kid Gleason
1920,American League,Cleveland_Indians,Cleveland_Indians,Tris Speaker,5–2,National League,Brooklyn Robins,LosAngeles_Dodgers,Wilbert Robinson
1921,National League,New York Giants,SanFrancisco_Giants,John McGraw,5–3,American League,NewYork_Yankees,NewYork_Yankees,Miller Huggins
1922,National League,New York Giants,SanFrancisco_Giants,John McGraw,4–0,American League,NewYork_Yankees,NewYork_Yankees,Miller Huggins
1923,American League,NewYork_Yankees,NewYork_Yankees,Miller Huggins,4–2,National League,New York Giants,SanFrancisco_Giants,John McGraw
1924,American League,Washington Senators,Minnesota_Twins,Bucky Harris,4–3,National League,New York Giants,SanFrancisco_Giants,John McGraw
1925,National League,Pittsburgh_Pirates,Pittsburgh_Pirates,Bill McKechnie,4–3,American League,Washington Senators,Minnesota_Twins,Bucky Harris
1926,National League,StLouis_Cardinals,StLouis_Cardinals,Rogers Hornsby,4–3,American League,NewYork_Yankees,NewYork_Yankees,Miller Huggins
1927,American League,NewYork_Yankees,NewYork_Yankees,Miller Huggins,4–0,National League,Pittsburgh_Pirates,Pittsburgh_Pirates,Donie Bush
1928,American League,NewYork_Yankees,NewYork_Yankees,Miller Huggins,4–0,National League,StLouis_Cardinals,StLouis_Cardinals,Bill McKechnie
1929,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack,4–1,National League,Chicago_Cubs,Chicago_Cubs,Joe McCarthy
1930,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack,4–2,National League,StLouis_Cardinals,StLouis_Cardinals,Gabby Street
1931,National League,StLouis_Cardinals,StLouis_Cardinals,Gabby Street,4–3,American League,Philadelphia Athletics,Oakland_Athletics,Connie Mack
1932,American League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–0,National League,Chicago_Cubs,Chicago_Cubs,Charlie Grimm
1933,National League,New York Giants,SanFrancisco_Giants,Bill Terry,4–1,American League,Washington Senators,Minnesota_Twins,Joe Cronin
1934,National League,StLouis_Cardinals,StLouis_Cardinals,Frank Frisch,4–3,American League,Detroit_Tigers,Detroit_Tigers,Mickey Cochrane
1935,American League,Detroit_Tigers,Detroit_Tigers,Mickey Cochrane,4–2,National League,Chicago_Cubs,Chicago_Cubs,Charlie Grimm
1936,National League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–2,American League,New York Giants,SanFrancisco_Giants,Bill Terry
1937,National League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–1,American League,New York Giants,SanFrancisco_Giants,Bill Terry
1938,National League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–0,American League,Chicago_Cubs,Chicago_Cubs,Gabby Hartnett
1939,National League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–0,American League,Cincinnati_Reds,Cincinnati_Reds,Bill McKechnie
1940,American League,Cincinnati_Reds,Cincinnati_Reds,Bill McKechnie,4–3,National League,Detroit_Tigers,Detroit_Tigers,Del Baker
1941,American League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–1,National League,Brooklyn Dodgers,LosAngeles_Dodgers,Leo Durocher
1942,National League,StLouis_Cardinals,StLouis_Cardinals,Billy Southworth,4–1,American League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy
1943,American League,NewYork_Yankees,NewYork_Yankees,Joe McCarthy,4–1,National League,StLouis_Cardinals,StLouis_Cardinals,Billy Southworth
1944,National League,StLouis_Cardinals,StLouis_Cardinals,Billy Southworth,4–2,American League,St. Louis Browns,Baltimore_Orioles,Luke Sewell
1945,American League,Detroit_Tigers,Detroit_Tigers,Steve O'Neill,4–3,National League,Chicago_Cubs,Chicago_Cubs,Charlie Grimm
