RK,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS
1,Boston,162,5623,876,1509,355,31,208,2550,829,0.268,0.339,0.453,0.792
2,NY Yankees,162,5515,851,1374,269,23,267,2490,821,0.249,0.329,0.451,0.781
3,Cleveland,162,5595,818,1447,297,19,216,2430,786,0.259,0.332,0.434,0.766
4,Oakland,162,5579,813,1407,322,20,227,2450,778,0.252,0.325,0.439,0.764
5,LA Dodgers,163,5572,804,1394,296,33,235,2461,756,0.25,0.333,0.442,0.774
6,Houston,162,5453,797,1390,278,18,205,2319,763,0.255,0.329,0.425,0.754
7,Colorado,163,5541,780,1418,280,42,210,2412,748,0.256,0.322,0.435,0.757
8,Washington,162,5517,771,1402,284,25,191,2309,737,0.254,0.335,0.419,0.753
9,Chicago Cubs,163,5624,761,1453,286,34,167,2308,722,0.258,0.333,0.41,0.744
10,Atlanta,162,5582,759,1433,314,29,175,2330,717,0.257,0.324,0.417,0.742
11,St. Louis,162,5498,759,1369,248,9,205,2250,725,0.249,0.321,0.409,0.73
12,Milwaukee,163,5542,754,1398,252,24,218,2352,711,0.252,0.323,0.424,0.747
13,Minnesota,162,5526,738,1379,317,22,166,2238,704,0.25,0.318,0.405,0.723
14,Texas,162,5453,737,1308,266,24,194,2204,696,0.24,0.318,0.404,0.722
15,LA Angels,162,5472,721,1323,249,23,214,2260,690,0.242,0.313,0.413,0.726
16,Tampa Bay,162,5475,716,1415,274,43,150,2225,664,0.258,0.333,0.406,0.74
17,Toronto,162,5477,709,1336,320,16,217,2339,680,0.244,0.312,0.427,0.739
18,Cincinnati,162,5532,696,1404,251,25,172,2221,665,0.254,0.328,0.401,0.729
19,Arizona,162,5460,693,1283,259,50,176,2170,658,0.235,0.31,0.397,0.707
20,Pittsburgh,161,5447,692,1381,290,38,157,2218,665,0.254,0.317,0.407,0.725
21,Seattle,162,5513,677,1402,256,32,176,2250,644,0.254,0.314,0.408,0.722
22,Philadelphia,162,5424,677,1270,241,30,186,2129,653,0.234,0.314,0.393,0.707
23,NY Mets,162,5468,676,1282,265,34,170,2125,649,0.234,0.312,0.389,0.701
24,Chicago Sox,162,5523,656,1332,259,40,182,2217,639,0.241,0.302,0.401,0.703
25,Kansas City,162,5505,638,1350,283,29,155,2156,606,0.245,0.305,0.392,0.697
26,Detroit,162,5494,630,1326,284,35,135,2085,597,0.241,0.3,0.38,0.68
27,Baltimore,162,5507,622,1317,242,15,188,2153,593,0.239,0.298,0.391,0.689
28,San Diego,162,5486,617,1289,250,30,162,2085,583,0.235,0.297,0.38,0.677
29,San Francisco,162,5541,603,1324,255,30,133,2038,573,0.239,0.3,0.368,0.667
30,Miami,161,5488,589,1303,222,24,128,1957,554,0.237,0.303,0.357,0.659
